district_id,eigen,rank
1,4.3005405222089e-4,243
2,9.416414477502224e-5,3854
3,7.36587528091092e-5,4189
4,1.4685543518458e-4,2981
5,2.5631579071122e-4,1219
6,2.2474071234116e-4,1659
7,2.8807064419235e-4,904
8,2.4786389323202e-4,1335
9,2.3293738742883e-4,1548
10,1.8692052675185e-4,2325
11,2.0515019107911e-4,2045
12,8.461062846856104e-5,4021
13,2.3024319410677e-4,1583
14,3.420709917532429e-5,4622
15,1.3795597242355e-4,3134
16,1.2584484778901e-4,3323
17,3.1016644348426e-4,749
18,3.3205365492591e-4,595
19,2.7057257200368e-4,1073
20,1.7058088425379e-4,2597
21,1.6741444552579e-4,2651
22,2.8874100202091e-4,899
23,2.3570881323622e-4,1500
24,8.864005243890156e-5,3937
25,1.5240507669091e-4,2902
26,1.1122740035396e-4,3561
27,2.3686183949048e-4,1491
28,1.8796740761556e-4,2308
29,1.761777547789e-4,2496
30,1.717742114731e-4,2574
31,1.8968357607743e-4,2281
32,1.492625185158e-4,2945
33,3.1175790687831e-4,736
34,2.602308660726e-4,1172
35,2.4379810922794e-4,1405
36,3.9408575361338e-4,353
37,2.6346369307032e-4,1143
38,1.1835200613058e-4,3445
39,1.5535610231471e-4,2847
40,1.7149631398614e-4,2580
41,2.3680630875541e-4,1492
42,1.5938679355099e-4,2778
43,2.1395344928435e-4,1912
44,8.667842377528414e-5,3982
45,2.0602516002652e-4,2033
46,3.3112586826255e-4,602
47,1.1249019383225e-4,3541
48,4.604815724295e-4,196
49,2.157216645297e-4,1884
50,1.461677156302e-4,2996
51,7.024872086504545e-5,4236
52,3.8149216134917e-4,393
53,1.352692569496e-4,3181
54,1.5285393117749e-4,2890
55,1.1401638661636e-4,3517
56,2.564849586165e-4,1215
57,2.1615862002449e-4,1879
58,3.2903583352068e-4,616
59,2.7799159270245e-4,1001
60,5.888466565124912e-5,4388
61,1.3958166982207e-4,3109
62,1.5113726012936e-4,2924
63,2.4460380883014e-4,1386
64,7.641450659085351e-5,4136
65,1.8820224897877e-4,2304
66,3.2264426549824e-4,657
67,2.3907118660418e-4,1462
68,8.668544283583464e-5,3981
69,2.6335349079761e-4,1146
70,9.312528004122992e-5,3871
71,4.1409189646193e-4,273
72,1.1675747673766e-4,3473
73,1.5448059394222e-4,2862
74,3.0867033331325e-4,763
75,1.5749648770434e-4,2812
76,2.0837759872314e-4,1998
77,3.92598526219e-4,360
78,3.2635335207708e-4,631
79,2.8404447653503e-4,944
80,2.7038594945176e-4,1076
81,1.4003538648027e-4,3101
82,3.4691490679639e-4,516
83,2.1116647913817e-4,1958
84,2.3142478006417e-4,1563
85,3.8199287294486e-4,391
86,1.0826862764771e-4,3611
87,2.0920242701244e-4,1987
88,1.3623143122093e-4,3162
128,7.577973224125215e-5,4144
129,1.7869844384911e-4,2460
130,3.7610272161708e-4,410
131,1.4399773574108e-4,3030
132,2.3511867715185e-4,1513
133,1.6387286815305e-4,2703
134,6.710911653995633e-5,4277
135,4.6087288436567e-4,194
136,8.480085496342664e-5,4020
137,7.312651627419507e-5,4195
138,1.8491911639035e-4,2366
139,2.5276304634541e-4,1270
140,1.0809505738459e-4,3614
141,4.8110866822406e-4,164
142,8.158536732361312e-5,4057
143,2.2882928736736e-4,1604
144,3.1443760009883e-4,723
145,3.3610069025576e-4,582
146,2.2354925399418e-4,1677
147,1.9767363869674e-4,2156
148,2.4447354373791e-4,1389
149,1.8952601062675e-4,2284
150,2.4114483983124e-4,1444
151,1.2605908270256e-4,3319
152,2.1755107861215e-4,1776
153,1.435196090105e-4,3037
154,3.258579556771e-4,634
155,3.2215510696868e-4,661
156,1.2378060026558e-4,3352
157,7.299890990203177e-5,4197
158,2.5036788058471e-4,1300
159,7.061068796560208e-5,4230
160,2.0302087726388e-4,2073
161,2.2276536568952e-4,1691
162,2.9798943415333e-4,836
163,2.8643425281361e-4,915
164,1.3819678735696e-4,3130
165,4.7942387128546e-4,167
166,4.1475361511336e-4,271
167,3.0956801733294e-4,758
168,4.1199318840179e-4,287
169,5.0835390479694e-4,129
170,1.9587616868786e-4,2189
171,3.3226752114329e-4,593
172,3.7805436667514e-4,401
173,1.7844092934669e-4,2466
174,6.178212351620616e-5,4360
175,1.929720013573e-4,2235
176,3.4388750655367e-4,533
177,1.2722548765533e-4,3301
178,1.4706832961265e-4,2976
179,2.0396754873998e-4,2052
180,6.669591996560535e-5,4280
181,1.2807610314606e-4,3284
182,2.5145762882605e-4,1280
183,1.379496495926e-4,3135
184,1.55497221603e-4,2844
185,1.9308799579405e-4,2234
186,1.4199409128437e-4,3071
187,1.4387346216044e-4,3032
188,2.0565833331374e-4,2038
189,1.7146091009342e-4,2581
190,1.2329865529494e-4,3363
191,0.00027999141001222003,977
192,2.6565908971819e-4,1118
193,8.6699026907344e-4,10
194,1.820453298026e-4,2413
195,1.9732212913965e-4,2167
196,1.010881011841e-4,3732
197,6.0353120973448e-4,64
198,3.2351915155908e-4,649
199,5.848993098306706e-5,4394
200,4.750506912390377e-5,4521
201,2.9677692927666e-4,845
202,2.6786946573049e-4,1097
203,2.4348855557022e-4,1411
204,2.4366508080823e-4,1410
205,7.558201394422058e-5,4146
206,2.8873947706202e-4,900
207,8.595859430558321e-5,3998
208,9.12946133828909e-5,3898
209,3.6454750856088426e-5,4602
210,1.9265242778898e-4,2239
211,1.4788738460795e-4,2961
212,9.31567091310106e-5,3870
213,1.7488604152347e-4,2515
214,2.2419714002821e-4,1668
215,3.3162978047248e-4,600
216,6.124862916146379e-5,4364
217,1.243195490194e-4,3346
218,1.7238806727882e-4,2566
219,2.2049675394121e-4,1722
220,5.5838580344399744e-5,4424
221,1.362104316748e-4,3164
222,5.284492996796961e-5,4468
223,3.0470228371696e-4,784
224,1.0073303733067e-4,3743
225,7.479165798266049e-5,4158
226,5.14076017463705e-5,4482
227,1.5503151253739e-4,2852
228,1.1944172713063e-4,3429
229,8.564740484919661e-5,4002
230,2.7863988315437e-4,990
231,3.0579761258226e-4,778
232,9.77152803499646e-5,3788
233,5.169575962075444e-5,4480
